SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T_SCAFFOLDS	TELOMERE_FWD	TELOMERE_REV	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
EXF_6360.AAFTF	173	20061171	507	700039	42388	115960.53	22	340228	63	97213	60.56	NA	16	14	96.5	96.4	0.1	1.0	2.5	1764
EXF_6370.AAFTF	178	19727104	500	1022851	41743	110826.43	19	317876	64	96723	60.57	NA	18	12	95.3	95.0	0.3	0.8	3.9	1764
EXF_6373.AAFTF	216	19443061	515	921567	36037	90014.17	27	235352	82	70977	60.56	NA	15	16	93.7	93.7	0.0	1.0	5.3	1764
EXF_6481.AAFTF	261	20862001	510	964254	8444	79931.04	23	312386	72	66908	68.47	1	15	14	99.1	99.0	0.1	0.3	0.6	1764
EXF_7045.AAFTF	284	20990344	502	625433	9129	73909.66	30	247652	86	72092	68.48	NA	16	15	98.9	98.8	0.1	0.3	0.8	1764
EXF_7386.AAFTF	177	19525209	513	1468489	18317	110311.92	13	428046	53	81146	60.57	NA	10	14	93.5	93.4	0.1	1.0	5.5	1764
EXF_7516.AAFTF	304	21594812	504	905962	21858	71035.57	33	195906	111	50337	67.38	NA	16	13	97.9	97.7	0.2	0.6	1.5	1764
EXF_7920.AAFTF	208	19943031	500	996534	10500	95879.96	20	315524	63	101201	60.55	NA	15	18	95.8	95.7	0.1	1.1	3.1	1764
EXF_7931.AAFTF	168	19261587	501	934756	32679	114652.30	20	334641	60	113158	60.55	1	16	17	92.1	91.9	0.2	1.0	6.9	1764
EXF_7934.AAFTF	205	19631285	500	778551	21698	95762.37	21	289497	69	96723	60.56	NA	17	14	94.4	94.4	0.0	1.2	4.4	1764
EXF_7944.AAFTF	191	19553081	515	972376	24873	102372.15	21	326308	63	82723	60.56	NA	19	14	94.3	94.1	0.2	1.0	4.7	1764
EXF_7949.AAFTF	185	19969326	511	826866	41564	107942.30	22	287870	70	96757	60.57	NA	26	4	96.5	96.5	0.0	0.9	2.6	1764
EXF_8006.AAFTF	208	19928313	515	793426	26996	95809.20	23	279463	73	79887	60.55	NA	16	16	95.7	95.6	0.1	1.1	3.2	1764
EXF_8014.AAFTF	168	19820577	515	828480	36967	117979.62	20	333673	60	111119	60.57	NA	14	19	96.1	96.0	0.1	0.9	3.0	1764
EXF_8109.AAFTF	173	19367120	502	735994	41256	111948.67	19	352442	63	100908	60.56	NA	21	10	94.0	94.0	0.0	1.1	4.9	1764
EXF_8151.AAFTF	178	19197891	515	588089	25062	107853.32	21	349512	59	102231	60.53	1	15	18	92.4	92.3	0.1	1.1	6.5	1764
EXF_8155.AAFTF	160	19932631	509	1044343	25012	124578.94	17	392212	54	111113	60.57	NA	16	15	96.4	96.3	0.1	1.0	2.6	1764
EXF_8254.AAFTF	167	19258666	522	789218	31261	115321.35	20	331805	59	111137	60.54	1	18	14	92.2	92.0	0.2	1.0	6.8	1764
EXF_8395.AAFTF	236	20051155	504	727676	34310	84962.52	26	201442	90	65894	60.56	NA	13	18	96.3	96.2	0.1	1.2	2.5	1764
EXF_8400.AAFTF	173	19989301	519	759798	39372	115545.09	21	293358	67	102521	60.57	NA	16	17	96.5	96.4	0.1	1.2	2.3	1764
EXF_8463.AAFTF	160	19668280	516	1121661	39415	122926.75	18	352699	58	103684	60.60	2	21	12	92.9	92.8	0.1	1.1	6.0	1764
EXF_8464.AAFTF	160	19519776	515	972669	35883	121998.60	19	324159	59	109021	60.59	NA	18	12	94.6	94.4	0.2	1.1	4.3	1764
EXF_8465.AAFTF	196	19697049	515	880525	27531	100495.15	21	308863	69	81955	60.57	1	17	14	95.3	95.2	0.1	1.0	3.7	1764
EXF_8528.AAFTF	449	20031377	504	469208	24367	44613.31	66	88955	222	24939	64.52	NA	NA	NA	92.5	92.2	0.3	2.2	5.3	1764
EXF_8891.AAFTF	174	19784389	501	967934	31261	113703.39	20	338074	62	96083	60.57	1	18	13	96.0	95.9	0.1	0.9	3.1	1764
EXF_8898.AAFTF	159	19434522	509	935107	24107	122229.70	19	349686	54	111099	60.59	NA	14	15	94.2	94.1	0.1	1.1	4.7	1764
EXF_8921.AAFTF	156	19421549	522	972719	37094	124497.11	18	348827	56	114748	60.59	NA	14	19	94.3	94.2	0.1	1.1	4.6	1764
EXF_8942.AAFTF	152	19521562	515	925205	22086	128431.33	17	445001	49	143777	60.59	1	23	8	94.7	94.7	0.0	1.0	4.3	1764
EXF_8984.AAFTF	155	19608767	501	1115386	26203	126508.17	17	429741	52	122875	60.57	NA	12	19	94.2	93.9	0.3	0.9	4.9	1764
EXF_9051.AAFTF	360	19165927	504	946619	943	53238.69	19	347399	58	103551	60.53	NA	14	16	92.1	92.0	0.1	1.1	6.8	1764
EXF_9284.AAFTF	393	21026447	500	660476	11358	53502.41	41	153629	135	42065	66.99	NA	7	12	97.5	97.3	0.2	0.8	1.7	1764
EXF_9595.AAFTF	171	19977761	531	1191627	38672	116829.01	20	313169	65	91568	60.56	NA	15	15	96.9	96.8	0.1	1.0	2.1	1764
EXF_9755.AAFTF	125	18884814	535	778040	93044	151078.51	19	324285	62	94295	62.58	NA	12	18	94.9	94.6	0.3	1.8	3.3	1764
EXF_9756.AAFTF	194	19871360	500	972726	32826	102429.69	22	308783	68	97361	60.57	1	17	15	95.8	95.7	0.1	1.0	3.2	1764
EXF_9762.AAFTF	152	19819165	515	1169665	37681	130389.24	17	403173	53	114695	60.57	1	15	16	96.0	95.9	0.1	0.9	3.1	1764
EXF_9926.AAFTF	169	20598636	515	1105156	41995	121885.42	18	369174	60	81120	60.58	1	19	14	96.3	96.1	0.2	1.1	2.6	1764
EXF_9950.AAFTF	176	19979712	508	925269	24185	113521.09	18	296818	61	101390	60.57	NA	20	11	96.4	96.4	0.0	1.0	2.6	1764
F6_1S_P_1A.AAFTF	135	19391818	501	1044446	10500	143643.10	15	517812	41	161478	60.58	NA	14	17	93.6	93.5	0.1	0.9	5.5	1764
F6_1S_P_1B.AAFTF	159	19537366	501	972698	5921	122876.52	17	446521	43	161468	60.57	NA	15	17	94.5	94.4	0.1	0.9	4.6	1764
F6_1S_P_1C.AAFTF	153	19541211	501	1044674	8363	127720.33	15	446648	44	125018	60.57	NA	15	17	94.7	94.6	0.1	0.7	4.6	1764
F6_4S_B_2A.AAFTF	136	19423324	501	828444	16420	142818.56	17	439743	45	158242	60.59	NA	16	14	94.4	94.3	0.1	0.9	4.7	1764
F6_4S_B_2B.AAFTF	187	19510736	506	1594790	4639	104335.49	11	570648	43	92800	60.58	1	10	14	93.6	93.5	0.1	0.7	5.7	1764
F6_4S_B_2C.AAFTF	156	19535566	501	972668	8405	125227.99	16	446015	45	129050	60.57	NA	14	18	94.5	94.4	0.1	0.9	4.6	1764
F6_4S_P_3B.AAFTF	148	19534546	541	1044392	9343	131990.18	15	499240	43	125018	60.57	1	13	19	94.4	94.3	0.1	0.9	4.7	1764
F6_4S_P_3C.AAFTF	155	19537044	501	828442	10548	126045.45	17	423024	47	125018	60.57	NA	15	17	94.5	94.4	0.1	0.9	4.6	1764
F6_4S_P_4A.AAFTF	154	19547702	501	1044402	9784	126933.13	16	446586	46	129023	60.57	NA	19	13	94.3	94.2	0.1	0.9	4.8	1764
F6_4S_P_4B.AAFTF	152	19542355	501	1044795	8405	128568.12	16	429743	44	143751	60.57	NA	18	14	94.4	94.3	0.1	1.0	4.6	1764
F6_4S_P_5A.AAFTF	141	19541696	501	1045106	9343	138593.59	15	517740	41	161480	60.57	NA	15	17	94.5	94.4	0.1	0.9	4.6	1764
F6_4S_P_5B.AAFTF	158	19539099	502	828471	8405	123665.18	16	447068	46	125017	60.57	NA	15	17	94.3	94.2	0.1	1.0	4.7	1764
F6_6S_B_1A.AAFTF	159	19539462	514	972670	8380	122889.70	17	429736	46	129040	60.57	NA	14	18	94.4	94.3	0.1	1.0	4.6	1764
F6_6S_B_1B.AAFTF	168	19534604	501	972661	10500	116277.40	17	423024	48	118792	60.57	NA	14	18	94.6	94.5	0.1	0.7	4.7	1764
F6_6S_B_1C.AAFTF	155	19384881	517	1105208	8502	125063.75	16	424672	45	129048	60.58	NA	12	19	93.6	93.5	0.1	0.8	5.6	1764
F6_6S_P_1A.AAFTF	160	19538210	510	1270251	9216	122113.81	16	424672	47	123287	60.57	1	16	16	94.5	94.4	0.1	0.7	4.8	1764
F6_6S_P_1B.AAFTF	145	19538934	501	1044444	9343	134751.27	15	424672	42	166565	60.57	NA	19	13	94.4	94.3	0.1	0.8	4.8	1764
F6_6S_P_1C.AAFTF	137	19537444	501	1044438	10500	142609.08	15	517848	41	158249	60.57	NA	18	14	94.6	94.5	0.1	0.7	4.7	1764
F6_6S_P_2A.AAFTF	139	19538878	501	1044438	10500	140567.47	15	499253	41	158213	60.57	NA	10	22	94.4	94.3	0.1	0.9	4.7	1764
F6_6S_P_2B.AAFTF	143	19541641	501	1061094	7483	136654.83	15	517854	39	158226	60.57	NA	19	13	94.5	94.4	0.1	0.9	4.6	1764
F6_7S_B_2A.AAFTF	153	20057925	524	1280746	16021	131097.55	16	407911	50	126232	60.58	NA	16	14	97.4	97.3	0.1	0.7	1.9	1764
F6_7S_B_2B.AAFTF	180	20052604	505	856352	11133	111403.36	20	339310	59	117729	60.58	NA	13	17	97.2	97.1	0.1	0.9	1.9	1764
F6_7S_B_2C.AAFTF	169	20052454	507	890770	11133	118653.57	19	350590	55	117726	60.58	NA	12	18	97.3	97.2	0.1	0.8	1.9	1764
F6_7S_P_6B.AAFTF	157	20062458	524	901334	16021	127786.36	17	389401	52	129053	60.58	NA	16	14	97.2	97.2	0.0	0.9	1.9	1764
F6_7S_P_7A.AAFTF	169	20052662	516	890649	10645	118654.80	18	389332	54	117731	60.58	NA	14	16	97.2	97.1	0.1	0.7	2.1	1764
F6_7S_P_7B.AAFTF	175	20059436	516	890752	10645	114625.35	19	339319	56	126253	60.58	NA	17	13	97.4	97.3	0.1	0.7	1.9	1764
F6_7S_P_7C.AAFTF	169	20059521	507	1062416	8437	118695.39	18	350593	52	129060	60.58	NA	17	13	97.2	97.1	0.1	0.9	1.9	1764
F6_8S_B_1B.AAFTF	189	19885575	506	1594688	4971	105214.68	12	536033	45	93073	60.57	1	7	17	95.6	95.5	0.1	0.7	3.7	1764
F6_8S_P_5A.AAFTF	151	19368326	500	1727441	9368	128267.06	12	560833	40	125620	60.01	2	14	19	93.0	92.9	0.1	1.4	5.6	1764
F6_8S_P_5B.AAFTF	151	19511312	500	1842500	7507	129213.99	11	507329	41	125780	60.02	2	13	21	93.5	93.4	0.1	1.3	5.2	1764
F6_8S_P_6A.AAFTF	177	19512563	506	1468268	4296	110240.47	12	536039	41	99046	60.58	1	12	12	93.5	93.4	0.1	0.8	5.7	1764
F6_8S_P_6B.AAFTF	199	19899816	507	1468260	9137	99999.08	15	427658	56	88124	60.57	NA	9	15	95.8	95.7	0.1	0.8	3.4	1764
F8_1S_2B.AAFTF	136	18639821	545	1044928	21987	137057.51	17	418571	46	125449	60.58	1	16	14	90.7	90.6	0.1	1.0	8.3	1764
F8_1S_3B.AAFTF	143	19539443	501	1044690	11519	136639.46	15	445012	43	125018	60.57	NA	19	13	94.4	94.3	0.1	0.9	4.7	1764
F8_3S_1B.AAFTF	149	19541786	501	1270207	10500	131152.93	16	424936	45	129050	60.57	1	18	14	94.5	94.4	0.1	0.9	4.6	1764
F8_3S_1P.AAFTF	142	19417320	515	778751	20547	136741.69	17	438444	47	125440	60.59	1	14	17	94.5	94.4	0.1	0.7	4.8	1764
F8_3S_2B.AAFTF	150	19538649	501	904282	10548	130257.66	16	468497	44	129049	60.57	NA	22	10	94.4	94.3	0.1	0.9	4.7	1764
F8_3S_2P.AAFTF	155	19581634	514	972528	16421	126333.12	18	392890	52	121911	60.58	NA	16	14	94.8	94.7	0.1	0.9	4.3	1764
F8_3S_3B.AAFTF	155	19538931	501	1044693	9343	126057.62	16	446016	46	125018	60.57	NA	19	13	94.4	94.3	0.1	1.0	4.6	1764
F8_3S_3P.AAFTF	143	19940196	536	1044418	8405	139441.93	16	473006	43	161500	60.56	NA	14	18	96.0	95.9	0.1	0.9	3.1	1764
F8_4S_1P.AAFTF	137	19418982	514	828482	18212	141744.39	17	438428	46	158259	60.59	NA	11	19	94.3	94.2	0.1	1.0	4.7	1764
F8_4S_2P.AAFTF	134	19415367	543	1044936	21990	144890.80	17	438252	45	143683	60.59	NA	16	14	94.4	94.3	0.1	0.9	4.7	1764
F8_4S_5B.AAFTF	143	19411974	501	1044679	16420	135748.07	17	406200	47	145625	60.59	NA	15	15	94.4	94.3	0.1	0.9	4.7	1764
F8_5S_2B.AAFTF	142	19537793	541	904213	8405	137590.09	15	517842	40	158214	60.57	NA	17	15	94.4	94.3	0.1	0.8	4.8	1764
F8_5S_3B.AAFTF	283	19877057	504	755706	13346	70236.95	28	214426	96	54529	60.56	NA	17	15	95.5	95.4	0.1	1.2	3.3	1764
F8_5S_4P.AAFTF	163	19538409	510	904394	6962	119867.54	17	424669	46	129054	60.57	NA	13	19	94.5	94.4	0.1	0.9	4.6	1764
F8_5S_5P.AAFTF	144	18711614	501	1044418	7483	129941.76	14	510587	40	129042	60.55	NA	17	15	90.7	90.6	0.1	0.9	8.4	1764
F8_6S_1B.AAFTF	135	19420117	501	1044422	21366	143852.72	16	438419	44	129061	60.59	NA	14	16	94.4	94.3	0.1	0.8	4.8	1764
F8_6S_2B.AAFTF	136	19417768	501	828439	20512	142777.71	17	445096	46	143596	60.59	NA	21	9	94.4	94.3	0.1	1.0	4.6	1764
IF1SG-B1.AAFTF	153	19602317	512	947393	10852	128119.72	17	446303	49	110968	60.58	NA	19	14	94.9	94.8	0.1	0.6	4.5	1764
IF1SW-B1.AAFTF	157	19598219	510	947454	11192	124829.42	17	406264	52	120259	60.57	NA	18	15	95.0	94.9	0.1	0.6	4.4	1764
IF1SW-F2.AAFTF	582	19851614	498	904468	724	34109.30	18	378835	54	103681	60.56	NA	19	18	94.4	94.3	0.1	1.0	4.6	1764
IF2SG-B1.AAFTF	154	19602610	512	947387	10852	127289.68	17	406259	51	118950	60.58	NA	15	18	94.9	94.8	0.1	0.7	4.4	1764
IF3SG-B1.AAFTF	159	19600024	504	947398	6966	123270.59	17	429682	49	129066	60.57	NA	14	19	94.8	94.7	0.1	0.7	4.5	1764
IF3SW-F2.AAFTF	157	19538179	502	972664	7483	124447.00	16	446014	44	129047	60.57	1	13	19	94.3	94.2	0.1	0.9	4.8	1764
IF4SW-B1.AAFTF	145	19542281	501	1060848	7483	134774.35	15	510831	40	158255	60.57	NA	18	14	94.4	94.3	0.1	0.9	4.7	1764
IF4SW-B2.AAFTF	146	19603099	504	935182	11192	134267.80	18	446527	49	120304	60.57	NA	19	14	94.9	94.8	0.1	0.7	4.4	1764
IF4SW-F2.AAFTF	156	19600201	504	935205	16431	125642.31	18	398716	53	119893	60.58	NA	17	16	94.9	94.8	0.1	0.7	4.4	1764
IF5SW-F1.AAFTF	146	19539837	501	1215722	8405	133834.50	14	499216	42	129053	60.57	NA	21	11	94.5	94.4	0.1	0.8	4.7	1764
IF6SG-B1.AAFTF	156	19600263	512	935228	42915	125642.71	18	406222	56	110968	60.57	NA	17	16	94.7	94.6	0.1	0.9	4.4	1764
IF6SW-B2.AAFTF	148	19598970	504	942772	16450	132425.47	17	435081	51	119964	60.57	NA	18	15	95.0	94.9	0.1	0.7	4.3	1764
IF6SW-F1.AAFTF	154	19604755	512	935194	10500	127303.60	17	459627	50	120260	60.58	NA	22	11	95.0	94.9	0.1	0.6	4.4	1764
IF7SG-B1.AAFTF	143	19602276	512	947385	16425	137078.85	17	406241	50	125913	60.57	NA	18	15	94.9	94.8	0.1	0.7	4.4	1764
IF7SW-B3.AAFTF	153	19605755	504	1009182	10186	128142.19	16	446526	49	119591	60.57	NA	19	14	94.9	94.8	0.1	0.7	4.4	1764
IF8SG-B1.AAFTF	153	19601160	504	935207	44789	128112.16	17	426311	54	112999	60.57	NA	18	15	94.8	94.7	0.1	0.8	4.4	1764
IF8SW-B2.AAFTF	163	19597889	504	947382	7947	120232.45	17	357388	52	120324	60.57	NA	14	19	95.0	94.9	0.1	0.7	4.3	1764
IF8SW-P2.AAFTF	140	19541737	501	1061073	8405	139583.84	15	499239	40	158209	60.57	NA	15	17	94.6	94.5	0.1	0.8	4.6	1764
IFCSG-B1.AAFTF	154	19600448	504	947394	10852	127275.64	17	406233	51	120286	60.57	NA	9	24	94.9	94.8	0.1	0.7	4.4	1764
IIF1SW-F1.AAFTF	154	19537558	501	903926	10548	126867.26	17	425675	47	125018	60.57	NA	18	14	94.5	94.4	0.1	0.8	4.7	1764
IIF2SW-F1.AAFTF	156	18662195	504	756698	11192	119629.46	18	395415	53	110968	60.55	NA	15	17	90.6	90.5	0.1	0.9	8.5	1764
IIF2XSW-B1.AAFTF	156	19602484	504	935351	11192	125656.95	18	417219	52	118752	60.57	NA	22	11	94.9	94.8	0.1	0.7	4.4	1764
IIF2XSW-F1.AAFTF	165	19596646	504	935349	10186	118767.55	18	446269	54	110968	60.58	NA	14	19	94.8	94.7	0.1	0.8	4.4	1764
IIF4SW-F1.AAFTF	141	19413583	514	972566	20512	137684.99	18	424665	48	132254	60.59	NA	20	10	94.6	94.5	0.1	0.8	4.6	1764
IIF5SW-F2.AAFTF	136	19028515	501	972583	10549	139915.55	17	424665	44	129039	60.59	NA	15	14	93.1	93.0	0.1	0.7	6.2	1764
IIF6SW-B1.AAFTF	148	18712651	519	904198	10548	126436.83	16	446008	45	125018	60.55	NA	16	16	90.6	90.5	0.1	0.9	8.5	1764
IIF6SW-B2.AAFTF	157	19600735	504	935205	11192	124845.45	18	395857	52	117804	60.58	NA	14	19	94.9	94.8	0.1	0.7	4.4	1764
IIF6SW-F1.AAFTF	162	19598567	504	935332	10500	120978.81	18	446527	53	112782	60.58	NA	17	16	94.9	94.8	0.1	0.7	4.4	1764
IIF8SW-B2.AAFTF	152	19603320	504	947375	21648	128969.21	18	396340	53	119287	60.57	NA	17	16	95.1	95.0	0.1	0.7	4.2	1764
IIF8SW-B3.AAFTF	152	19602649	506	935212	41557	128964.80	18	406470	53	119592	60.58	NA	19	14	94.9	94.8	0.1	0.7	4.4	1764
IIF8SW-F1.AAFTF	148	19469318	512	947381	21648	131549.45	17	406229	50	118752	60.57	NA	17	16	93.9	93.8	0.1	0.6	5.5	1764
IIFCSW-F1.AAFTF	149	19540562	510	972699	10500	131144.71	17	424672	46	154128	60.57	NA	18	14	94.5	94.4	0.1	0.8	4.7	1764
JGTA-S1.AAFTF	404	21238106	502	753582	20621	52569.57	35	132518	164	33488	60.58	1	20	12	95.2	88.1	7.1	1.4	3.4	1764
NRRL_Y-17376.AAFTF	383	19575185	505	646604	8799	51110.14	31	183861	123	38882	65.91	NA	11	14	97.3	97.1	0.2	0.9	1.8	1764
NRRL_Y-2474.AAFTF	326	20456604	501	626388	10821	62750.32	28	212841	99	51840	68.00	NA	11	18	98.7	98.6	0.1	0.4	0.9	1764
NRRL_Y-2504.AAFTF	127	18256576	507	1378761	13101	143752.57	13	479374	38	163517	62.03	1	14	13	91.1	90.9	0.2	1.0	7.9	1764
NRRL_Y-7192.AAFTF	121	17422696	506	1679734	40843	143989.22	10	504169	41	82689	63.52	1	17	15	96.9	96.8	0.1	0.9	2.2	1764
RIT389.AAFTF	1667	39399116	500	191444	13093	23634.74	251	48149	820	13662	60.29	NA	NA	4	96.6	30.1	66.5	1.3	2.1	1764
SB-353.AAFTF	265	20047359	501	791532	21792	75650.41	32	196438	96	65290	60.47	NA	10	21	96.2	96.1	0.1	1.4	2.4	1764
TFCN_0520-4-2-1.AAFTF	93	19582485	507	1073089	74712	210564.35	14	508875	36	222410	60.60	2	16	17	97.2	97.2	0.0	0.6	2.2	1764
TFCN_0520-4-2-2.AAFTF	193	19547025	507	755460	49237	101279.92	28	223551	84	72829	60.63	NA	15	18	96.9	96.9	0.0	0.9	2.2	1764
TFCN_100D-1.AAFTF	228	19839134	500	828455	7591	87013.75	23	272114	71	79808	60.56	NA	10	19	96.0	95.9	0.1	0.9	3.1	1764
TFCN_102C-1.AAFTF	213	19885211	519	905063	22085	93357.80	23	269755	73	78213	60.57	2	18	13	95.7	95.6	0.1	1.0	3.3	1764
TFCN_102C-2.AAFTF	196	18602367	515	584000	21198	94910.04	23	271440	68	94130	60.54	NA	17	15	90.4	90.4	0.0	1.2	8.4	1764
TFCN_102D-1.AAFTF	201	19640227	515	973544	12149	97712.57	20	295555	63	89387	60.57	NA	17	13	95.0	94.9	0.1	0.9	4.1	1764
TFCN_102D-2.AAFTF	240	19984743	515	675927	26207	83269.76	27	202887	88	65205	60.58	NA	13	18	96.7	96.6	0.1	1.1	2.2	1764
TFCN_105A-2.AAFTF	173	19872318	500	946239	22077	114868.89	19	392253	56	118758	60.57	1	11	21	94.9	94.7	0.2	0.9	4.2	1764
TFCN_106A-1.AAFTF	230	19787462	510	791639	10885	86032.44	23	277272	73	76632	60.57	NA	15	16	95.9	95.8	0.1	1.0	3.1	1764
TFCN_107A-6.AAFTF	229	19814120	515	676008	23200	86524.54	27	249929	83	71198	60.57	NA	14	15	95.8	95.7	0.1	1.1	3.1	1764
TFCN_107C-3.AAFTF	186	19457990	515	972494	16310	104612.85	18	427457	58	89387	60.58	NA	14	16	94.5	94.5	0.0	1.0	4.5	1764
TFCN_110C-1.AAFTF	164	19794647	502	791633	28338	120699.07	18	384424	55	105503	60.58	NA	12	20	95.8	95.7	0.1	0.9	3.3	1764
TFCN_118C-2.AAFTF	190	19559397	501	828448	16608	102944.19	20	341483	62	87021	60.59	NA	10	19	94.9	94.9	0.0	1.1	4.0	1764
TFCN_122C-2.AAFTF	181	19586571	514	828424	10500	108213.10	20	332377	59	105957	60.58	NA	16	16	94.9	94.8	0.1	0.9	4.2	1764
TFCN_130D-4.AAFTF	147	19285371	515	828448	22388	131193.00	18	421806	49	114512	60.61	1	10	20	93.8	93.7	0.1	1.0	5.2	1764
TFCN_134A-3.AAFTF	191	19504317	506	1189853	8273	102116.84	14	435218	51	97674	60.58	1	12	11	93.3	93.2	0.1	0.9	5.8	1764
TFCN_137C-3.AAFTF	244	19906507	515	833579	23427	81584.05	27	233790	88	66435	60.57	NA	20	11	96.3	96.3	0.0	1.0	2.7	1764
TFCN_137D-4.AAFTF	215	19746418	563	516391	43337	91843.80	30	209427	97	56985	60.57	NA	17	14	95.5	95.4	0.1	1.2	3.3	1764
TFCN_138A-1.AAFTF	201	20081525	503	759040	27823	99908.08	22	324474	72	78146	60.57	NA	15	17	95.1	94.2	0.9	1.2	3.7	1764
TFCN_140A-3.AAFTF	217	19547167	522	1350700	20356	90079.11	19	265387	73	69278	60.59	NA	17	13	94.7	94.7	0.0	1.1	4.2	1764
TFCN_141C-2.AAFTF	216	19540683	524	828391	21359	90466.12	23	295212	75	70503	60.57	NA	14	17	94.5	94.4	0.1	1.4	4.1	1764
TFCN_152A-1.AAFTF	652	39529417	500	864902	17180	60627.94	72	167629	239	46809	60.31	NA	32	27	97.4	19.4	78.0	0.7	1.9	1764
TFCN_152A-12.AAFTF	167	19503740	510	972557	20512	116788.86	19	329396	55	110817	60.60	NA	13	18	94.9	94.8	0.1	1.0	4.1	1764
TFCN_152A-2.AAFTF	225	20013923	512	926327	5469	88950.77	19	351685	60	101495	60.51	NA	14	16	96.4	96.3	0.1	1.0	2.6	1764
TFCN_152A-4.AAFTF	163	20621431	503	1456154	2931	126511.85	12	575401	35	167206	61.84	2	16	16	98.4	98.1	0.3	0.5	1.1	1764
TFCN_152A-5.AAFTF	230	19453492	514	758687	15332	84580.40	26	252776	78	70758	60.60	1	15	14	94.4	94.3	0.1	1.1	4.5	1764
TFCN_152A-6.AAFTF	222	20617670	503	1456153	1639	92872.39	12	575388	37	160656	61.85	1	16	15	98.4	98.1	0.3	0.3	1.3	1764
TFCN_152C-3.AAFTF	175	20617420	500	1456130	4111	117813.83	13	538719	39	160713	61.85	1	14	16	98.3	98.0	0.3	0.5	1.2	1764
TFCN_152C-5.AAFTF	264	19832322	515	720613	22635	75122.43	30	200331	99	60633	60.57	NA	14	16	95.5	95.4	0.1	1.2	3.3	1764
TFCN_152C-6.AAFTF	117	19549779	506	933459	29395	167092.13	15	512587	39	147377	60.63	1	14	19	97.2	97.2	0.0	0.7	2.1	1764
TFCN_152D-4.AAFTF	207	20612715	506	1046527	20892	99578.33	21	286571	70	85275	61.85	NA	18	14	98.4	98.1	0.3	0.3	1.3	1764
TFCN_152D-6.AAFTF	231	20608926	502	1456135	1486	89216.13	12	575390	38	167206	61.86	2	15	16	98.3	98.0	0.3	0.4	1.3	1764
TFCN_17-0-2E329-4.AAFTF	12480	17429087	500	28419	1066	1396.56	3173	1690	9548	700	67.58	NA	10	18	42.7	42.7	0.0	31.8	25.5	1764
TFCN_17-0-2E334-10.AAFTF	225	19407256	501	800046	22133	86254.47	24	250313	78	65585	60.59	NA	18	15	94.2	94.2	0.0	1.0	4.8	1764
TFCN_17-0-2E334-4.AAFTF	688	39404278	501	627304	22221	57273.66	79	145044	266	43218	60.31	NA	28	35	97.2	20.0	77.2	1.1	1.7	1764
TFCN_17-0-2E337-3.AAFTF	584	39697723	500	784200	21139	67975.55	61	195050	216	50507	60.31	1	32	26	97.4	21.5	75.9	0.8	1.8	1764
TFCN_17-0-2E390-1.AAFTF	391	38662836	500	1478744	14289	98881.93	37	306459	126	84450	60.32	NA	35	25	97.8	22.0	75.8	0.6	1.6	1764
TFCN_17-0-2E390-2.AAFTF	510	38953019	500	902568	14284	76378.47	50	232610	171	62283	60.30	NA	34	28	97.7	21.3	76.4	0.8	1.5	1764
TFCN_17-267M-1.AAFTF	345	39096239	503	1419025	25058	113322.43	35	347168	118	91993	60.32	NA	28	35	98.0	20.9	77.1	0.7	1.3	1764
TFCN_17-291Y-1.AAFTF	548	39411463	500	1094103	23247	71918.73	60	192697	201	54757	60.31	NA	31	31	97.4	19.1	78.3	0.8	1.8	1764
TFCN_17-325D-2.AAFTF	196	20305639	513	1069453	12585	103600.20	20	384369	61	97303	60.55	1	20	13	96.6	96.4	0.2	0.9	2.5	1764
TFCN_17-325D-4.AAFTF	226	19940129	513	700621	27050	88230.66	25	252797	81	70677	60.55	NA	15	17	96.1	95.9	0.2	1.0	2.9	1764
TFCN_17-325P-1.AAFTF	178	18703040	501	762205	12295	105073.26	20	330367	58	114784	60.54	NA	19	13	0.1	0.1	0.0	0.0	99.9	1764
TFCN_17-328C-3.AAFTF	411	20834925	500	724941	20957	50693.25	50	125346	166	35829	68.48	NA	11	21	98.6	98.5	0.1	0.7	0.7	1764
TFCN_17-328P-3.AAFTF	494	20842592	500	395808	20111	42191.48	62	95423	215	28846	68.47	NA	11	21	98.5	98.4	0.1	0.8	0.7	1764
TFCN_17-329Y-4.AAFTF	218	19847958	501	1024891	23144	91045.68	23	263172	78	73462	60.57	NA	16	16	95.8	95.8	0.0	1.1	3.1	1764
TFCN_17-331Y-3.AAFTF	224	20866407	507	817636	18995	93153.60	26	297634	73	94386	68.47	NA	21	11	99.0	98.9	0.1	0.4	0.6	1764
TFCN_17-332C-1.AAFTF	186	19188919	500	935540	26022	103166.23	21	292254	64	96735	60.61	NA	12	17	93.5	93.4	0.1	1.2	5.3	1764
TFCN_17-332C-2.AAFTF	171	19089374	522	831365	8405	111633.77	19	331224	56	109809	60.61	1	18	11	93.2	93.0	0.2	1.0	5.8	1764
TFCN_17-332D-1.AAFTF	164	19187923	501	791641	28441	116999.53	18	399926	57	101551	60.61	NA	10	19	93.8	93.7	0.1	1.0	5.2	1764
